time,alb_KPC_L,lat_KPC_L,lon_KPC_L,cloud_KPC_L
2019-06-26,0.4983,79.910878,-24.081931,0.8425
2019-06-27,0.4452,79.910878,-24.081917,0.8155
2019-06-28,0.4107,79.910882,-24.081936,0.6591
2019-06-29,0.4166,79.91088,-24.081921,0.7121
2019-06-30,0.4716,79.910879,-24.081919,0.7097
2019-07-01,0.4401,79.910878,-24.081907,0.4988
2019-07-02,0.432,79.910877,-24.081902,0.2565
2019-07-03,0.4627,79.910879,-24.081911,0.2765
2019-07-04,0.4712,79.910877,-24.081903,0.325
2019-07-05,0.4538,79.910877,-24.081898,0.2274
2019-07-06,0.4147,79.910877,-24.081905,0.3253
2019-07-07,0.4267,79.910878,-24.0819,0.2588
2019-07-08,0.4549,79.910875,-24.081891,0.1956
2019-07-09,0.4137,79.910872,-24.081891,0.186
2019-07-10,0.4102,79.910874,-24.081897,0.3149
2019-07-11,0.4059,79.910873,-24.081888,0.7086
2019-07-12,0.3702,79.910867,-24.081868,0.2172
2019-07-13,0.2905,79.910859,-24.081792,0.0137
2019-07-14,0.257,79.910858,-24.081795,0.2377
2019-07-15,0.2681,79.910859,-24.081801,0.4948
2019-07-16,0.2921,79.910857,-24.081779,0.4585
2019-07-17,0.3097,79.910856,-24.081801,0.0
2019-07-18,0.295,79.910856,-24.081805,0.2942
2019-07-19,0.2905,79.910856,-24.081802,0.0239
2019-07-20,0.2651,79.910857,-24.081809,0.1434
2019-07-21,0.2641,79.910858,-24.081788,0.1111
2019-07-22,0.2827,79.910857,-24.081804,0.3395
2019-07-23,0.2885,79.910858,-24.081787,0.0341
2019-07-24,0.3056,79.910855,-24.081784,0.2641
2019-07-25,0.3064,79.910857,-24.081779,0.183
2019-07-26,0.2843,79.910856,-24.081791,0.0286
2019-07-27,0.3029,79.910855,-24.081789,0.2486
2019-07-28,0.3357,79.910853,-24.081778,0.6949
2019-07-29,0.2822,79.910854,-24.081791,0.1235
2019-07-30,0.2621,79.910857,-24.081786,0.0147
2019-07-31,0.2623,79.910853,-24.081777,0.0659
2019-08-01,0.2695,79.910855,-24.081782,0.0693
2019-08-02,0.258,79.910851,-24.081783,0.1209
2019-08-03,0.2617,79.910851,-24.081782,0.0247
2019-08-04,0.2962,79.910851,-24.081779,0.0002
2019-08-05,0.2985,79.910852,-24.081772,0.0062
2019-08-06,0.3052,79.910849,-24.081762,0.0555
2019-08-07,0.296,79.91085,-24.08177,0.1656
2019-08-08,0.2759,79.910851,-24.081765,0.8544
2019-08-09,0.278,79.910848,-24.081773,0.2581
2019-08-10,0.2679,79.910848,-24.081771,0.4462
2019-08-11,0.2925,79.910848,-24.081764,0.269
2019-08-12,0.2589,79.910847,-24.08178,0.8039
2019-08-13,0.2583,79.910848,-24.081768,0.186
2019-08-14,0.2581,79.910847,-24.081765,0.6085
2019-08-15,0.2691,79.910848,-24.081773,0.7447
2019-08-16,0.2846,79.910846,-24.081774,0.6451
2019-08-17,0.2743,79.910847,-24.081763,0.6962
