time,alb_QAS_M,lat_QAS_M,lon_QAS_M,cloud_QAS_M
2020-05-13,0.7798,61.099112,-46.833227,0.7812
2020-05-14,0.7643,61.099087,-46.833298,0.6926
2020-05-15,0.7519,61.098874,-46.833495,0.6057
2020-05-16,0.7897,61.098908,-46.83343,0.5497
2020-05-17,0.7198,61.098915,-46.833417,0.4713
2020-05-18,0.7228,61.098901,-46.833376,0.2451
2020-05-19,0.7205,61.098922,-46.833417,0.1174
2020-05-20,0.7198,61.098876,-46.833486,0.1218
2020-05-21,0.7522,61.09887,-46.833484,0.3804
2020-05-22,0.7797,61.098873,-46.833484,0.6918
2020-05-23,0.7077,61.09887,-46.833494,0.2252
2020-05-24,0.7063,61.098873,-46.833483,0.1494
2020-05-25,0.7637,61.098922,-46.833312,0.4252
2020-05-26,0.9085,61.098872,-46.83349,0.9458
2020-05-27,0.8457,61.098867,-46.83349,0.8518
2020-05-28,0.7354,61.098873,-46.83349,0.6304
2020-05-29,0.7357,61.098868,-46.833495,0.341
2020-05-30,0.7379,61.098902,-46.833387,0.1762
2020-05-31,0.8065,61.098867,-46.833493,0.7625
2020-06-01,0.7624,61.098862,-46.833496,0.9691
2020-06-02,0.828,61.098857,-46.833486,0.9823
2020-06-03,0.7802,61.098855,-46.833489,1.0
2020-06-04,0.7953,61.098853,-46.833401,0.9179
2020-06-05,0.8323,61.098847,-46.833499,0.9802
2020-06-06,0.8197,61.09885,-46.833496,0.9729
2020-06-07,0.8444,61.098848,-46.833485,0.952
2020-06-08,0.7604,61.098857,-46.833488,0.6343
2020-06-09,0.8096,61.098845,-46.833508,0.7408
2020-06-10,0.9258,61.098872,-46.833392,0.9944
2020-06-11,0.8759,61.098846,-46.833507,0.8679
2020-06-12,0.9709,61.098874,-46.833388,0.8266
2020-06-13,0.9599,61.098843,-46.833496,0.9927
2020-06-14,0.8528,61.098841,-46.8335,0.7321
2020-06-15,0.8927,61.098844,-46.833507,0.6879
2020-06-16,0.8972,61.098844,-46.833499,0.9932
2020-06-17,0.8526,61.098843,-46.833506,0.9387
2020-06-18,0.8176,61.098843,-46.833506,0.8261
2020-06-19,0.838,61.098841,-46.833504,0.7121
2020-06-20,0.7591,61.09884,-46.833507,0.4293
2020-06-21,0.7592,61.09884,-46.833505,0.5709
