date,site,alb_sat,alb_AWS,cloud
2017_05_28,SCO_L,0.563,0.5768,0.8659
2017_05_28,SCO_U,0.704,0.7732,0.8257
2017_05_28,TAS_A,0.722,0.83,0.9153
2017_05_28,THU_L,32.767,0.8657,0.9692
2017_05_28,THU_U,0.823,0.8174,0.9015
2017_05_28,UPE_L,0.730,0.825,0.9773
2017_05_28,UPE_U,0.793,0.8929,0.9009
2017_05_29,EGP,0.817,0.8164,0.2791
2017_05_29,KAN_L,0.562,0.6373,0.2952
2017_05_29,KAN_M,0.760,0.8022,0.8067
2017_05_29,KAN_U,0.779,0.8237,0.7893
2017_05_29,KPC_L,0.667,0.785,0.42
2017_05_29,KPC_U,0.763,0.8211,0.2858
2017_05_29,NUK_K,0.468,0.7461,0.5193
2017_05_29,NUK_L,0.417,0.4839,0.9298
2017_05_29,QAS_L,0.602,0.6632,0.937
2017_05_29,QAS_U,0.706,0.7966,0.666
2017_05_29,SCO_L,0.550,0.6264,0.8862
2017_05_29,SCO_U,0.705,0.7984,0.8928
2017_05_29,TAS_A,0.731,0.7637,0.7014
2017_05_29,THU_L,32.767,0.8331,0.644
2017_05_29,THU_U,0.827,0.8578,0.6227
2017_05_29,UPE_L,0.730,0.8441,0.9657
2017_05_29,UPE_U,0.794,0.8607,0.9036
2017_05_30,EGP,0.820,0.8055,0.2771
2017_05_30,KAN_L,0.578,0.7281,0.6479
2017_05_30,KAN_M,0.774,0.8107,0.6377
2017_05_30,KAN_U,0.780,0.8596,0.5831
2017_05_30,KPC_L,0.661,0.7849,0.3771
2017_05_30,KPC_U,0.762,0.8248,0.3996
2017_05_30,NUK_K,0.475,0.721,0.8605
2017_05_30,NUK_L,0.416,0.6154,0.8301
2017_05_30,QAS_L,0.599,0.5943,0.329
2017_05_30,QAS_M,0.690,0.7182,0.0462
2017_05_30,QAS_U,0.707,0.6671,0.2205
2017_05_30,SCO_L,0.550,0.5991,0.5173
2017_05_30,SCO_U,0.705,0.7891,0.3582
2017_05_30,TAS_A,0.726,0.7716,0.7361
2017_05_30,THU_L,32.767,0.8657,0.722
2017_05_30,THU_U,0.818,0.8421,0.6956
